Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,32.54542922973633,35.424697482052096,26.900123201294626,29.0514868911543,855215656
2007-10-08,30.87933921813965,33.64537715335155,30.685230446068495,33.64537715335155,126671715
2007-10-09,32.982173919677734,33.273334876563496,29.229420508905978,30.89551235079529,116725709
2007-10-10,33.28950881958008,33.96888726698826,32.998347881527316,33.83948069921518,67931378
2007-10-11,37.00990676879883,38.82158101766896,32.99834518139679,38.82158101766896,106320954
2007-10-12,36.76727294921875,38.14220367043771,35.90996408298535,36.233477193860395,99410791
2007-10-15,37.25253677368164,37.7539846496586,36.929023713539095,37.52752375238814,41814972
2007-10-16,41.05381774902344,41.70084829693079,37.0422564347305,37.30106514355186,138614496
2007-10-17,44.25661849975586,45.291858138136426,34.324759011891686,36.88051468514176,204876259
2007-10-18,42.70374298095703,48.34904899278738,40.875894629309066,44.96833494637907,146617799
2007-10-19,42.55816650390625,44.288962742645936,40.43915272805429,41.733205334524634,110266491
2007-10-22,41.99200439453125,43.30223046365177,40.60089567672555,41.70084353338519,72253405
2007-10-23,44.9845085144043,45.38889989435569,43.02725160268316,43.02725160268316,74594921
2007-10-24,44.28895950317383,46.424147025259316,43.78751152208772,45.93887294539988,63055170
2007-10-25,44.19189453125,45.227138099078076,39.031859366115256,42.78461181458354,34522489
2007-10-26,45.5182991027832,46.24620350425056,43.755151130724876,44.968325133170474,62370025
2007-10-29,46.440303802490234,47.55642543755542,46.035912541658796,46.26237340289481,43657697
2007-10-30,47.47555160522461,48.75342547566269,45.68005160722159,47.07116030674552,79921711
2007-10-31,48.46226501464844,49.52986068411947,47.556430253818284,47.7181867745327,44655368
2007-11-01,47.37851333618164,50.03132303264523,46.99030017265182,49.659283772122784,50632492
2007-11-02,48.23581314086914,48.52697844288558,45.29184303635139,45.663886613833,32001693
2007-11-05,49.22251510620117,50.30628453092423,47.91228482690581,48.20345003647759,38833135
2007-11-06,49.86955642700195,53.02380913782165,49.19017804247073,50.079839063471155,81880281
2007-11-07,49.14165496826172,51.503298977271584,48.041711243352026,50.79157274959002,33593141
2007-11-08,48.30051803588867,49.61074874527248,47.23292654343725,47.87995275411746,27990521
2007-11-12,49.46515655517578,50.33864352634539,45.56682175472056,46.84470002959342,35153735
2007-11-13,50.645992279052734,51.66505776839079,48.70491348491256,50.30630524524928,43830531
2007-11-14,49.982791900634766,52.24738381751477,49.72397876309187,51.53565317418142,36738579
2007-11-15,50.82392501831055,51.71358609524621,49.86955956242675,50.920977198805254,29242252
2007-11-16,50.46807098388672,51.61654105731379,49.88574460705154,50.59747538276282,18895294
2007-11-19,52.295894622802734,54.18844676342025,51.22830335780125,51.61651636874434,40716718
2007-11-20,51.48713302612305,53.54144252261235,50.85628059270577,52.08563326512156,26342171
2007-11-21,47.47555160522461,52.10178630465485,46.32707768478814,51.79445155056659,26814499
2007-11-22,45.841819763183594,48.882846610027244,43.85221494720686,46.974115686349094,34096185
2007-11-23,48.8828239440918,49.173984740315156,46.13295930353092,48.85047176941687,27664090
2007-11-26,49.271060943603516,50.69451783327973,48.882847821652355,50.69451783327973,20159123
2007-11-27,48.057884216308594,50.11219335595317,47.55644064766986,50.11219335595317,20573198
2007-11-28,47.34615707397461,49.33576636932726,47.022643938200545,49.10930541911432,16435311
2007-11-29,46.06827926635742,48.78578851962412,45.469779133762835,48.52697978614249,25530967
2007-11-30,47.84760665893555,48.13876761323275,46.26239311849263,46.90941941156548,18437721
2007-12-03,48.526973724365234,49.125473782197815,48.05787801710885,48.42991717048796,16851227
2007-12-04,47.89613723754883,49.254894335384975,47.540271865455715,48.85050286435377,14008727
2007-12-05,49.80483627319336,49.98277105377734,47.87993657944078,47.97698872308598,27725290
2007-12-06,48.8828239440918,51.6488580901019,48.25197189566995,50.88860173090584,24104710
2007-12-07,48.67253875732422,49.88571244192797,47.799056337164906,49.19016040700695,11742386
2007-12-10,48.72108840942383,49.319584152607185,48.090236089726254,49.14165369727063,8330010
2007-12-11,48.494632720947266,49.432819963847166,48.251997862201016,49.15783291301585,11685950
2007-12-12,48.46226501464844,48.89900849816266,47.556430253818284,47.87994329524712,16342131
2007-12-13,47.65348815917969,49.17400139247456,47.47555772010192,48.526975231570695,14620172
2007-12-14,47.18439865112305,47.928481466907826,46.941763808831226,47.49173787319704,10991851
2007-12-17,44.33749008178711,47.718204366215325,43.67428546960665,47.45939120490292,19355678
2007-12-18,44.14338302612305,45.6153662094104,42.768452039650676,43.836043756328515,21607783
2007-12-19,43.33456802368164,45.95502366566051,42.96252902730948,45.56680638983957,19526912
2007-12-20,42.89784622192383,44.25660298152633,42.703737486562446,43.90073769801832,17105204
2007-12-24,44.20808029174805,44.90363262464139,43.18901044977422,43.544875760627974,16711519
2007-12-26,45.5506591796875,46.100633244594526,44.450715437801016,44.450715437801016,20930094
2007-12-27,45.874168395996094,47.13586859211166,45.48595092584029,46.48884240047012,44565277
2007-12-28,46.23002624511719,46.42413494898207,45.291834907757966,45.777104473456944,18354518
2007-12-31,46.56972885131836,46.84471590863475,46.00358083422556,46.585907141706365,11982308
2008-01-01,47.42702102661133,47.86376450551846,46.37560365305871,46.81234713196585,16687746
2008-01-02,47.16822052001953,47.78289452111501,46.47266824541341,47.42702924008274,13437280
2008-01-03,49.10930633544922,49.3034150981211,46.31091853637379,46.8770665345422,31815218
2008-01-04,48.85049057006836,50.46805604709772,48.52697747466248,49.821029856285975,28011310
2008-01-07,48.446102142333984,49.562219756495736,47.92848028067048,48.54315432167763,15858063
2008-01-08,46.79617691040039,49.173998804148276,46.23002904940931,48.49462049337363,13282666
2008-01-09,46.05210494995117,47.05499655756259,45.93887447381431,46.84471389498143,13113527
2008-01-10,44.9521484375,47.55643110010215,44.64480928750281,46.26237891135868,18023003
2008-01-11,45.631526947021484,46.068270440536295,43.83602689322203,45.566822582083525,11629440
2008-01-14,46.32708740234375,46.81235706230868,44.984508887359596,45.71241337730698,10264240
2008-01-15,44.919803619384766,47.26527359600053,44.547764431713915,47.07116924620861,11558334
2008-01-16,43.99778747558594,44.968326711609436,42.881669986915085,44.596287548719154,14834065
2008-01-17,45.178611755371094,46.181503133167304,43.221355081880944,44.159542091589614,16169395
2008-01-18,43.07578659057617,44.855108848736755,42.70374297170948,44.80657836771744,13254156
2008-01-21,35.74821090698242,42.70374344833289,31.13814644723972,42.70374344833289,33202389
2008-01-22,32.157203674316406,33.968877553369225,25.54136033342955,32.22190584271904,58755707
2008-01-23,35.74821090698242,37.12314175817961,32.67483606312989,32.67483606312989,28425991
2008-01-24,35.829078674316406,38.36865696682665,34.130635180258324,37.67310479446436,29911930
2008-01-25,37.67311096191406,37.85104141144036,36.15259763933074,37.52752831199091,12550722
2008-01-28,38.0775032043457,38.36866412290287,34.13064154590795,37.15548997230856,13601109
2008-01-29,37.446651458740234,38.7245300052494,36.88050351321065,38.174555960135415,7679877
2008-01-30,35.37617111206055,37.68928915929557,34.90707530919857,37.5275325911263,9016102
2008-01-31,33.06304168701172,35.84525476429939,32.67482647003195,35.74820041156363,41538563
2008-02-01,34.211509704589844,34.454144462949685,33.32184892393709,33.629185845733616,9089201
2008-02-04,35.97465515136719,36.395222504355836,34.85853570248568,34.85853570248568,12009385
2008-02-05,37.090789794921875,37.57605951009831,35.26294141200956,36.03937207870628,14593303
2008-02-06,36.76727294921875,37.204016526485546,34.7129660115404,36.07172063842287,12429218
2008-02-07,35.03648376464844,37.51136070713484,34.81002499582351,36.265834187651755,11300078
2008-02-08,34.13063430786133,35.554090798435645,33.49978212816549,35.26292994162465,13514197
