Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.54542922973633,35.424697482052096,26.900123201294626,29.0514868911543,855215656
1,2007-10-08,30.879329681396484,33.6453667623481,30.68522096927368,33.6453667623481,126671715
2,2007-10-09,32.982177734375,33.27333872493625,29.22942388956217,30.895515924150608,116725709
3,2007-10-10,33.28949737548828,33.96887558934333,32.9983365375293,33.83946906605695,67931378
4,2007-10-11,37.009918212890625,38.8215930219612,32.998355385045606,38.8215930219612,106320954
5,2007-10-12,36.767276763916016,38.142207627787506,35.909967808734656,36.23348095317501,99410791
6,2007-10-15,37.25254821777344,37.7539962477967,36.929035058246704,37.52753528095677,41814972
7,2007-10-16,41.05381774902344,41.70084829693079,37.0422564347305,37.30106514355186,138614496
8,2007-10-17,44.256591796875,45.291830810628525,34.32473830154414,36.880492432741484,204876259
9,2007-10-18,42.703739166259766,48.349044673798645,40.87589097789229,44.9683309293873,146617799
10,2007-10-19,42.55816650390625,44.288962742645936,40.43915272805429,41.733205334524634,110266491
11,2007-10-22,41.99201202392578,43.302238331097136,40.60090305337393,41.70085110987962,72253405
12,2007-10-23,44.984500885009766,45.38889219637619,43.02724430524036,43.02724430524036,74594921
13,2007-10-24,44.288970947265625,46.42415902107512,43.787522836607344,45.93888481582278,63055170
14,2007-10-25,44.1919059753418,45.22714981126027,39.031869473945804,42.78462289424035,34522489
15,2007-10-26,45.51829528808594,46.24619962855069,43.75514746378963,44.96832136456422,62370025
16,2007-10-29,46.44032287597656,47.5564449694438,46.035931449057685,46.26239240330338,43657697
17,2007-10-30,47.4755744934082,48.753448979915206,45.680073629786314,47.07118299997019,79921711
18,2007-10-31,48.462276458740234,49.52987238031799,47.556441484002285,47.718198042914594,44655368
19,2007-11-01,47.37849807739258,50.031306919488635,46.99028503889122,49.65926777878566,50632492
20,2007-11-02,48.23582077026367,48.52698611833335,45.29185020010208,45.66389383642933,32001693
21,2007-11-05,49.22252655029297,50.306296226989275,47.91229596637288,48.20346124363972,38833135
22,2007-11-06,49.86956024169922,53.023813193798766,49.190181805199956,50.07984289425368,81880281
23,2007-11-07,49.14165115356445,51.50329497924803,48.041707514039594,50.79156880681531,33593141
24,2007-11-08,48.3005256652832,49.61075658162685,47.23293400419847,47.87996031708086,27990521
25,2007-11-12,49.465179443359375,50.33866681870299,45.56684283909297,46.84472170525705,35153735
26,2007-11-13,50.6459846496582,51.665049985482575,48.704906147925286,50.306297667025746,43830531
27,2007-11-14,49.98279571533203,52.24738780504618,49.72398255803647,51.53565710739339,36738579
28,2007-11-15,50.82392120361328,51.71358221377355,49.86955581936141,50.92097337682353,29242252
29,2007-11-16,50.468055725097656,51.61652545129008,49.88572952432617,50.59746008484893,18895294
30,2007-11-19,52.2958984375,54.18845071616877,51.228307094623624,51.61652013388471,40716718
31,2007-11-20,51.48712921142578,53.54143855571067,50.856276824748555,52.08562940608123,26342171
32,2007-11-21,47.4755744934082,52.101811423167646,46.32710001928713,51.79447652091188,26814499
33,2007-11-22,45.841827392578125,48.88285474553592,43.85222224547405,46.97412350419017,34096185
34,2007-11-23,48.88283920288086,49.174000089990145,46.132973703948856,48.85048701810719,27664090
35,2007-11-26,49.27106857299805,50.694525683089935,48.882855390933884,50.694525683089935,20159123
36,2007-11-27,48.057884216308594,50.11219335595317,47.55644064766986,50.11219335595317,20573198
37,2007-11-28,47.34616470336914,49.3357743193289,47.02265151546394,49.109313332623884,16435311
38,2007-11-29,46.06827163696289,48.7857804401813,45.46977160348626,48.526971749561135,25530967
39,2007-11-30,47.84760665893555,48.13876761323275,46.26239311849263,46.90941941156548,18437721
40,2007-12-03,48.52696990966797,49.12546992045256,48.05787423928711,48.42991336342029,16851227
41,2007-12-04,47.89613342285156,49.25489041246924,47.540268079101416,48.85049897364587,14008727
42,2007-12-05,49.80484390258789,49.98277871042896,47.87994391396798,47.97699607248019,27725290
43,2007-12-06,48.88283920288086,51.6488742123094,48.25198695753834,50.88861761579908,24104710
44,2007-12-07,48.67256546020508,49.88573981038399,47.79908256083311,49.19018739386703,11742386
45,2007-12-10,48.72107696533203,49.319572567934785,48.0902247938153,49.141642154392294,8330010
46,2007-12-11,48.4946174621582,49.4328044098584,48.25198267975678,49.157817445551494,11685950
47,2007-12-12,48.462276458740234,48.89902004538898,47.556441484002285,47.87995460182691,16342131
48,2007-12-13,47.65350341796875,49.1740171381365,47.47557292191713,48.526990770052926,14620172
49,2007-12-14,47.18439483642578,47.928477592054016,46.94176001375016,47.49173403365245,10991851
50,2007-12-17,44.337486267089844,47.718200260649056,43.67428171197001,47.45938712160436,19355678
51,2007-12-18,44.14335632324219,45.61533861610863,42.768426168482655,43.836017239361,21607783
52,2007-12-19,43.334598541259766,45.955056028646666,42.962559282885934,45.56683847943079,19526912
53,2007-12-20,42.8978385925293,44.2565951104765,42.70372989169021,43.90072989025924,17105204
54,2007-12-24,44.20807647705078,44.90362874992519,43.18900672301207,43.54487200315835,16711519
55,2007-12-26,45.5506591796875,46.100633244594526,44.450715437801016,44.450715437801016,20930094
56,2007-12-27,45.87417221069336,47.13587251172646,45.48595470825507,46.488846266281016,44565277
57,2007-12-28,46.23005676269531,46.424165594696134,45.291864806012896,45.77713469205026,18354518
